id,item_group_id,title,description,link,image_link,availability,price,brand,condition,gtin,identifier_exists,mpn
52801732018515,10375505248595,"Ramlager 70, 71, 72, 73 - STD","STD-dimension ramlager av hög kvalitet för Volvo Penta-motorer i D70–D73-serierna. Används vid motorrenovering för att säkerställa rätt lagerspel och pålitlig drift. Passar modeller: D70, D71, D72 AQD70CL, AQD70D MD70B, MD70C TAMD70B, TAMD70C, TAMD70D, TAMD70E, THAMD70C, TMD70C TAMD71A, TAMD71B TAMD72A, TAMD72P-A, TAMD72WJ-A TAMD73P-A, TAMD73WJ-A Storlek: Std Ersätter OEM-nr: 270432",https://ohooj.com/products/ramlager-70-71-72-73-std?variant=52801732018515,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/11432_1_9f812e86-5b76-4f94-bdba-ceb2d95d9e39.png?v=1771851493,in_stock,39.00 EUR,Orbitrade,new,,no,ORB.2088.00
52801931444563,10375604994387,"Avgasbälgsats DP-G, DPX-A","Avgasbälgsats DP-G, DPX-A Avgasbälgsats för Volvo Penta-drev DP-G och DPX-A. Bälgen säkerställer korrekt tätning av avgassystemet och förhindrar vatteninträngning. Levereras komplett med ABA slangklämmor för smidig och säker montering. Ett viktigt servicekit för att upprätthålla ett effektivt och tätt avgassystem. Passar modeller: DP-G DPX-A Innehåll: ABA slangklämmor ingår Ersätter OEM nr: 3860384",https://ohooj.com/products/avgasbalgsats-dp-g-dpx-a?variant=52801931444563,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/19384_1_9ef173bd-4d38-475c-bca3-37b0dfa712c8.jpg?v=1771851580,in_stock,62.00 EUR,Orbitrade,new,,no,ORB.2201.00
52801931575635,10375605092691,"Avgaskrök 2001, 2002, 2003, rostfri","Avgaskrök tillverkad i syrafast rostfritt stål (EN 1.4404 / AISI 316L), vilket ger lång livslängd och utmärkt korrosionsbeständighet i marina miljöer. Ersätt originalkröken med denna hållbara modell för ökad driftsäkerhet och prestanda. Kylvattenanslutning i standarddimension 16 mm (5/8""). Passar motorer: 2001, 2001AG, 2001B, 2001BG, 2001D, 2001R 2002, 2002AG, 2002B, 2002BG, 2002D 2003, 2003B, 2003D, 2003R Obs: Passar ej till 2003T Kylvattenanslutning: 16 mm (5/8"") Uni Material: EN 1.4404 / AISI 316L (rostfritt stål) Ersätter OEM nr: 840690",https://ohooj.com/products/avgaskrok-2001-2002-2003-rostfri?variant=52801931575635,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/16790_1_db180f68-0794-464f-9c33-0a36e645b60e.jpg?v=1771851585,in_stock,413.00 EUR,Orbitrade,new,,no,ORB.2208.00
53074464440659,10442996842835,Bränsleinstrument NMEA2000 Silverline - Svart,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/bransleinstrument-nmea2000-silverline?variant=53074464440659,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210620_1_ffec70af-3971-420b-971a-059978798d95.png?v=1773747550,in_stock,84.00 EUR,Wema,new,,no,MAR.1005.01
53074464473427,10442996842835,Bränsleinstrument NMEA2000 Silverline - Vit,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/bransleinstrument-nmea2000-silverline?variant=53074464473427,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210624_1_544e7cf2-1c2c-4637-8249-c573f7cae2a6.png?v=1773747556,in_stock,84.00 EUR,Wema,new,,no,MAR.1005.02
53074464866643,10442996908371,Vatteninstrument NMEA2000 Silverline - Svart,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/vatteninstrument-nmea2000-silverline?variant=53074464866643,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210610_1_72b21618-22d9-49d3-8f75-9c0fd55cd5df.png?v=1773747561,in_stock,84.00 EUR,Wema,new,,no,MAR.1006.01
53074464899411,10442996908371,Vatteninstrument NMEA2000 Silverline - Vit,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/vatteninstrument-nmea2000-silverline?variant=53074464899411,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210614_1_8c4441f9-721c-4716-b3b0-add3c56399b0.png?v=1773747567,in_stock,84.00 EUR,Wema,new,,no,MAR.1006.02
53074465784147,10442996973907,Septiktanksinstrument NMEA2000 Silverline - Svart Silverline,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/septiktanksinstrument-nmea2000-silverline?variant=53074465784147,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210697_1_9119a57e-b2b9-4ecd-abdb-03edcd24cc6e.png?v=1773747573,in_stock,84.00 EUR,Wema,new,,no,MAR.1007.01
53074465816915,10442996973907,Septiktanksinstrument NMEA2000 Silverline - Vit Silverline,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/septiktanksinstrument-nmea2000-silverline?variant=53074465816915,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210698_1_3bc474d6-29c7-4793-be2e-f0a2bfa0a51b.png?v=1773747579,in_stock,84.00 EUR,Wema,new,,no,MAR.1007.02
53074466177363,10442997039443,Vattentemperaturmätare NMEA2000 Silverline - Svart,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/vattentemperaturmatare-nmea2000-silverline?variant=53074466177363,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210655_1_710b5fee-dffb-416a-a3a0-72e29a3cd6f3.png?v=1773747585,in_stock,84.00 EUR,Wema,new,,no,MAR.1008.01
53074466210131,10442997039443,Vattentemperaturmätare NMEA2000 Silverline - Vit,"NMEA2000 Silverline Instrument Instrumenten har sargar av rostfritt syrafast stål och välvda glas, vilket ger ett exklusivt och stilrent utseende. De är enkla att koppla in i ett NMEA2000-nätverk och levereras med en 1 m NMEA2000 droppkabel/stamnät med hon- och hankontakt. Specifikationer Modell: Silverline-instrument med rostfri syrafast slimmad sarg Insignal: NMEA2000 Kabel &amp; kontakt: 1000 mm ±30 mm med NMEA2000 Micro hane Röd bakgrundsbelysning Driftstemperatur: -25 till +70°C Vattentät: IP67 Resistent mot ozon, UV och saltvatten Helt korrosionsskyddad Håltagning: 52 mm Yttermått: 56 mm Djup: 85 mm LEN: 1",https://ohooj.com/products/vattentemperaturmatare-nmea2000-silverline?variant=53074466210131,https://cdn.shopify.com/s/files/1/1031/2014/2675/files/210659_1_e7cbd0f7-adc6-4555-85d9-c8ba4cb32735.png?v=1773747590,in_stock,84.00 EUR,Wema,new,,no,MAR.1008.02
